WORLD_QUERY2_TOP2_FROM10, Intersection, Precision=1.0, Recall=0.41810344827586204
WORLD_QUERY2_TOP2_FROM10, Intersection, Precision=1.0, Recall=0.41810344827586204
WORLD_QUERY2_TOP2_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP2_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
WORLD_QUERY2_TOP2_FROM10, FDP_Plus, Precision=0.49500000000000527, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP3_FROM10, Intersection, Precision=1.0, Recall=0.41810344827586204
WORLD_QUERY2_TOP3_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP3_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP4_FROM10, Intersection, Precision=1.0, Recall=0.41810344827586204
WORLD_QUERY2_TOP4_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP4_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP5_FROM10, Intersection, Precision=1.0, Recall=0.0625
WORLD_QUERY2_TOP5_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP5_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP6_FROM10, Intersection, Precision=1.0, Recall=0.0625
WORLD_QUERY2_TOP6_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP6_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP7_FROM10, Intersection, Precision=1.0, Recall=0.0625
WORLD_QUERY2_TOP7_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP7_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP8_FROM10, Intersection, Precision=1.0, Recall=0.0625
WORLD_QUERY2_TOP8_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP8_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP9_FROM10, Intersection, Precision=1.0, Recall=0.0625
WORLD_QUERY2_TOP9_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP9_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY2_TOP10_FROM10, Intersection, Precision=1.0, Recall=0.0625
WORLD_QUERY2_TOP10_FROM10, Union, Precision=0.970873786407767, Recall=0.43103448275862066
WORLD_QUERY2_TOP10_FROM10, FD, Precision=0.6472491909385126, Recall=0.8620689655172413
,,,
WORLD_QUERY3_TOP2_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP2_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP2_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP3_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP3_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP3_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP4_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP4_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP4_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP4_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP5_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP5_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP5_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP5_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP6_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP6_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP6_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP6_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP7_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP7_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP7_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP7_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP8_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP8_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP8_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP8_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP9_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP9_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP9_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP9_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
WORLD_QUERY3_TOP10_FROM10, Intersection, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP10_FROM10, Union, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP10_FROM10, FD, Precision=1.0, Recall=0.3851626016260163
WORLD_QUERY3_TOP10_FROM10, FDP_Plus, Precision=1.0, Recall=0.3851626016260163
,,,
TPCH_QUERY3_TOP2_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP2_FROM10, Union, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP2_FROM10, FD, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=0.031
,,,
TPCH_QUERY3_TOP3_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP3_FROM10, Union, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP3_FROM10, FD, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=0.031
,,,
TPCH_QUERY3_TOP4_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP4_FROM10, Union, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP4_FROM10, FD, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP4_FROM10, FDP_Plus, Precision=1.0, Recall=0.031
,,,
TPCH_QUERY3_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP5_FROM10, Union, Precision=1.0, Recall=0.01
TPCH_QUERY3_TOP5_FROM10, FD, Precision=0.666666666666668, Recall=0.031
TPCH_QUERY3_TOP5_FROM10, FDP_Plus, Precision=0.5000000000000054, Recall=0.031
,,,
TPCH_QUERY3_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP6_FROM10, Union, Precision=1.0, Recall=0.01
TPCH_QUERY3_TOP6_FROM10, FDP_Plus, Precision=0.3333333333333333, Recall=0.031
,,,
TPCH_QUERY3_TOP7_FROM10, FDP_Plus, Precision=0.2499999999999958, Recall=0.031
,,,
